TARGET_TYPE	TYPE_META_VER
oracle_bpelprocess	12.15
oracle_btm_sphere	12.14
oracle_btm_sphere	12.15
oracle_btm_sys	12.14
oracle_camm_manager	12.11
oracle_camm_manager	12.15
oracle_cef	12.14
oracle_cef	12.15
oracle_cef	12.16
oracle_cef	13.10
oracle_cef_cluster	12.14
oracle_cef_cluster	13.10
oracle_cloud	1.0
oracle_cloud_adw	1.0
oracle_cloud_adw	13.4
oracle_cloud_adw	13.40025
oracle_cloud_adw	13.40034
oracle_cloud_atp	1.0
oracle_cloud_atp	134100.0
oracle_cloud_atp	134104.0
oracle_cloud_atp	134106.0
oracle_cloud_db_service	1.0
oracle_cloud_dbcs	12.02
oracle_cloud_dbcs	13.31
oracle_cloud_infrastructure	13.41048
oracle_cloud_tenant	1.0
oracle_cman	3.2
oracle_coherence	12.14
oracle_coherence	12.15
oracle_coherence	12.16
oracle_coherence	13.10
oracle_coherence	13.20
oracle_coherence	13.22
oracle_coherence	13.22748
oracle_coherence	13.33
oracle_coherence	13.34
oracle_coherence_cache	12.14
oracle_coherence_cache	12.15
oracle_coherence_cache	12.16
oracle_coherence_cache	13.10
oracle_coherence_cache	13.20
oracle_coherence_cache	13.33
oracle_coherence_cache	13.34
oracle_coherence_cache_partition	13.10
oracle_coherence_cache_partition	13.20
oracle_coherence_node	12.14
oracle_coherence_node	12.15
oracle_coherence_node	12.16
oracle_coherence_node	13.10
oracle_coherence_node	13.20
oracle_coherence_node	13.22
oracle_coherence_node	13.3
oracle_coherence_node	13.4
oracle_coherence_node	13.40008
oracle_coherence_node	13.41039
oracle_coreid_access_server	1.1
oracle_coreid_access_server	12.15
oracle_coreid_identity_server	1.1
oracle_coreid_identity_server	12.15
oracle_csa_collector	1.1
oracle_das	1.0
oracle_das_server	12.15
oracle_das_server	2.0
oracle_database	1.0
oracle_database	13.21
oracle_database	13.21647
oracle_database	13.22
oracle_database	13.22716
oracle_database	13.22737
oracle_database	13.22751
oracle_database	13.31
oracle_database	13.32
oracle_database	13.40
oracle_database	13.40013
oracle_database	13.40020
oracle_database	13.40025
oracle_database	13.40039
oracle_database	13.40048
oracle_database	13.40104
oracle_database	13.40130
oracle_database	4.8
oracle_database	4.9
oracle_database	5.0
oracle_database	5.1
oracle_database	5.2
oracle_database	5.3
oracle_database	5.4
oracle_database	5.400716
oracle_database	5.400737
oracle_database	5.8
oracle_database_group	1.0
oracle_dbmachine	1.1
oracle_dbmachine	1.2
oracle_dbmachine	1.3
oracle_dbmachine	13.1
oracle_dbservice	1.0
oracle_dbservice	13.21
oracle_dbsvc	13.21
oracle_dbsvc	4.0
oracle_dbsys	1.1
oracle_dbsys	1.2
oracle_dbsys	1.3
oracle_dbsys	1.4
oracle_dbsys	1.5
oracle_dbsys	13.21
oracle_discussion	12.14
oracle_discussion	12.15
oracle_dsee	12.14
oracle_dsee	12.15
oracle_dsee_ent	12.14
oracle_dsee_ent	12.15
oracle_dsee_grp	1.1
oracle_em_proxy	1.0
oracle_em_service	3.0
oracle_emd	12.0
oracle_emd	12.2
oracle_emd	12.3
oracle_emd	12.4
oracle_emd	13.1
oracle_emd	13.2
oracle_emd	13.20811
oracle_emd	13.4
oracle_emd	13.40044
oracle_emd_proxy	12.01
oracle_emrep	13.2
oracle_emrep	13.4
oracle_emrep	13.40016
oracle_emsvrs_sys	13.2
oracle_emsvrs_sys	13.4
oracle_end_user_service	13.01
oracle_end_user_service	13.02
oracle_ep_service	3.0
oracle_eps	1.0
oracle_eps_server	12.14
oracle_eps_server	12.15
oracle_eps_server	13.20
oracle_essbase	12.14
oracle_essbase	12.15
oracle_essbase	12.16
oracle_essbaseapp	12.103
oracle_essbaseapp	12.15
oracle_exa_cisco_switch	1.4
oracle_exa_cisco_switch	1.5
oracle_exa_cisco_switch	1.6
oracle_exa_cisco_switch	13.1
oracle_exa_ilom	1.3
oracle_exa_ilom	1.4
oracle_exa_ilom	1.5
oracle_exa_ilom	13.1
oracle_exa_kvm	1.3
oracle_exa_kvm	13.1
oracle_exa_pdu	1.3
oracle_exa_pdu	1.4
oracle_exa_pdu	13.1
oracle_exadata	1.4
oracle_exadata	1.5
oracle_exadata	1.6
oracle_exadata	13.1
oracle_exadata	13.2
oracle_exadata	13.20652
oracle_exadata	13.3
oracle_exadata	13.30846
